NoStrat,KEY,dataset,fire_year,sample_year,sample_gap_yr,FIRE,plotname,PLOT,ValueFrom,RdNBR,RdNBR_BL,dNBR,dNBR_BL,dNBR_Offset,dNBR_Offset_BL,RBR,RBR_BL,preNBR,lon,lat,elev,slope,aspect,HeatLoad,MaxTreeHeight,QMD_LAF,QMD_all,FIRESEV,FIRESEVCODE,FIRESEVNUM,CHARHT,CHARHT_percMax,BOLESCORCH,LITTDUFFMM,SOILCHARMM,CHARCOV,LiveVegCov,Firemort.BA.p,Firemort.trees.p,over1,over2,FieldClass,FieldClass2,under1,under2,ba_ha,stems_ha,RedGrayGreenStage.BA.p,OutbreakStage
All,245,BJH,2008,2010,2,newfork,67,245,Extraction,1149,1171,778,797,767,786,516,466,0.44578,-109.939,43.0843,2548,6,280,0.79994,25.2,13.73,13.61,crown,d,3,20.6,0.82,1,1.1,8,0.92,0.02,1,1,PICO,,3,3,,,26.93,1853,0,greenattack
All,246,BJH,2008,2010,2,newfork,68,246,Extraction,1211,1179,735,739,724,728,518,400,0.35714,-109.938,43.0846,2563,12,303,0.813577,21.4,13.28,13.9,crown,d,3,19.3,0.9,1,3.3,11.5,0.77,0.02,1,1,PICO,,3,3,,,21.25,1401,0.01,greenattack
All,247,BJH,2008,2010,2,newfork,69,247,Extraction,1231,1251,785,799,774,788,540,548,0.39583,-109.935,43.0864,2591,10,164,0.833762,21.9,12.61,12.59,crown,d,3,19.3,0.88,1,2.7,7.5,0.94,0.03,1,1,PICO,,3,3,,,25.01,2009,0,greenattack
All,248,BJH,2008,2010,2,newfork,70,248,Extraction,1037,1044,678,657,667,646,457,430,0.41333,-109.938,43.0865,2555,11,255,0.869553,22.6,11.11,13.1,crown,d,3,19.7,0.87,1,1,14.2,0.67,0.07,1,1,PICO,,3,3,,,24.22,1797,0.4,greenattack
All,249,BJH,2008,2010,2,newfork,71,249,Extraction,1261,1251,773,768,762,757,543,513,0.36585,-109.937,43.0857,2582,13,199,0.891846,23.1,13.26,13.22,crown,d,3,18.8,0.81,1,4.3,15.3,0.7,0.04,1,1,PICO,,3,3,,,24.85,1811,0,greenattack
All,250,BJH,2008,2010,2,newfork,72,250,Extraction,610,581,440,414,429,403,273,529,0.49398,-109.939,43.0881,2572,9,194,0.845713,24.9,18.59,18.9,sevsurf,c,2,8.2,0.33,0.86,13.1,11.8,0.16,0.13,1,1,PICO,,3,3,,,32.94,1174,0.06,greenattack
All,251,BJH,2008,2010,2,newfork,73,251,Extraction,512,518,348,345,337,334,220,526,0.4321,-109.903,43.0987,2692,4,278,0.778553,21.8,11.7,11.82,lightsurf,b,1,2.1,0.1,0.62,29.1,7.9,0.08,0.33,0.97,0.95,PICO,,3,3,,,37.11,3381,0.05,greenattack
All,252,BJH,2008,2010,2,newfork,74,252,Extraction,428,541,221,282,210,271,152,211,0.24,-109.905,43.0987,2681,10,302,0.804322,21,8.96,9.16,lightsurf,b,1,1.9,0.09,0.62,15.3,6.4,0.16,0.16,0.97,0.86,PICO,,3,3,,,26.67,4046,0.06,greenattack
All,253,BJH,2008,2010,2,newfork,75,253,Extraction,733,605,379,322,368,311,278,412,0.25275,-109.907,43.0987,2648,11,296,0.823608,30.4,12,12.09,lightsurf,b,1,1,0.03,0.4,20.3,4,0.21,0.36,0.92,0.78,PICO,,3,3,,,28.89,2518,0.03,greenattack
All,254,BJH,2008,2010,2,newfork,76,254,Extraction,405,336,245,206,234,195,159,475,0.33333,-109.908,43.0974,2654,6,292,0.789298,23.4,9.32,9.34,lightsurf,b,1,1.6,0.07,0.47,13.9,9.1,0.25,0.18,0.95,0.64,PICO,,3,3,,,21.5,3141,0,greenattack
