fire_year,FIRE,plotname,PLOT,RdNBR,RdNBR_BL,dNBR,dNBR_BL,RBR,RBR_BL,pre_NBR,lat,slope,HeatLoad,MaxTreeHeight,QMD_LAF,QMD_all,FIRESEVNUM,CHARHT_percMax,BOLESCORCH,CHARCOV,Firemort.BA.p,Firemort.trees.p,ba_ha,stems_ha,RedGrayGreenStage.BA.p
2013,WestFork,WF02,528,353,363,167,172,159,163,0.39759,37.6054,17,0.992641,29,13.49814566,24.50372995,1,0.08,0.647619048,0.725,0.801137478,0.5,74.236008,1575,0.82
2013,WestFork,WF05,529,645,627,342,354,288,277,0.38272,37.5948,30,1.09106,,13.04172627,14.3018066,1,0.11,0.421875,0.55,0.699914749,0.597014925,38.535651,2400,0.371
2013,WestFork,WF22,530,519,541,207,243,176,191,0.15464,37.6428,5,0.806113,23,8.403147377,20.32757846,1,0.09,0.274712644,0.325,0.416348774,0.238095238,72.983295,2250,0.72
2013,WestFork,WF28,531,632,639,335,396,295,298,0.48,37.6022,27,0.477297,22,7.158087493,14.47576934,1,0.45,0.497058824,0.2,0.667455621,0.666666667,27.964167,1700,0.737
2013,WestFork,WF30,532,959,930,465,553,459,446,0.55769,37.4714,23,0.671196,25,10.04146472,18.97998436,2,0.68,0.853521127,0.7,1,1,50.194914,1775,0.755
2013,WestFork,WF31,533,476,521,525,513,223,246,0.49495,37.4704,41,0.339579,32,21.89867406,29.19907075,1,0.56,0.972727273,0.625,0.52423367,0.961538462,55.2155835,825,0.529
2013,WestFork,WF36,534,422,397,363,303,189,177,0.39024,37.4663,25,0.614083,32,21.37268034,29.51069357,2,0.74,0.91875,0.5,1,1,82.0369935,1200,0.509
2013,WestFork,WF37,535,447,410,324,335,193,181,0.33333,37.4703,19,0.729546,30,18.34330727,25.84629826,1,0.25,0.827272727,0.3,0.926488808,0.861111111,72.1056105,1375,0.49
2013,WestFork,WF43,536,493,415,425,388,227,189,0.44898,37.4773,28,0.652009,33,32.30005028,32.88503861,1,0.4,0.9625,0.4,0.402593844,0.80952381,67.913538,800,0.289
2013,WestFork,WF44,537,382,373,235,275,178,173,0.47475,37.4857,10,0.825812,28,10.83755854,18.8556421,2,0.52,0.929166667,0.9,0.99239428,0.964285714,33.4914195,1200,0.371
